id,sentence
36740,oraec1253-10
10110,oraec1253-10
10110,oraec1253-10
851711,oraec1253-10
71170,oraec1253-10
10110,oraec1253-10
113110,oraec1253-10
10110,oraec1253-10
64360,oraec1253-10
156950,oraec1253-10
113110,oraec1253-10
10110,oraec1253-10
64360,oraec1253-10
71170,oraec1253-10
26870,oraec1253-10
78870,oraec1253-10
10110,oraec1253-10
400309,oraec1253-10
59920,oraec1253-10
851677,oraec1253-10
10050,oraec1253-10
174900,oraec1253-10
91900,oraec1253-10
10090,oraec1253-10
36740,oraec756-10
10110,oraec756-10
10110,oraec756-10
851711,oraec756-10
71170,oraec756-10
10110,oraec756-10
113110,oraec756-10
10110,oraec756-10
64360,oraec756-10
156950,oraec756-10
113110,oraec756-10
10110,oraec756-10
64360,oraec756-10
71170,oraec756-10
26870,oraec756-10
10030,oraec756-10
78870,oraec756-10
10110,oraec756-10
851677,oraec756-10
10030,oraec756-10
174900,oraec756-10
91900,oraec756-10
10090,oraec756-10
854581,oraec784-19
174900,oraec784-19
74750,oraec784-19
74750,oraec784-19
10110,oraec784-19
170500,oraec784-19
104090,oraec784-19
26460,oraec784-19
178060,oraec784-19
160390,oraec784-19
851809,oraec784-19
10110,oraec784-19
94700,oraec784-19
10100,oraec784-19
64360,oraec784-19
170480,oraec784-19
21550,oraec784-19
107510,oraec784-19
10110,oraec784-19
94200,oraec784-19
10110,oraec784-19
45640,oraec784-19
92560,oraec784-19
10110,oraec784-19
64360,oraec784-19
183430,oraec784-19
10100,oraec784-19
54460,oraec784-19
10050,oraec136-22
89340,oraec136-22
78870,oraec136-22
271,oraec136-22
10050,oraec136-23
89340,oraec136-23
90260,oraec136-23
