id,sentence
49460,oraec12554-2
21930,oraec12554-2
28170,oraec12554-2
10050,oraec12554-2
800001,oraec12554-2
59920,oraec12554-2
62500,oraec12554-2
203,oraec12554-2
116910,oraec12554-2
854552,oraec12554-2
21930,oraec12554-6
28170,oraec12554-6
10050,oraec12554-6
800001,oraec12554-6
59920,oraec12554-6
62500,oraec12554-6
203,oraec12554-6
116910,oraec12554-6
854552,oraec12554-6
854546,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
854546,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
84820,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
47270,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
43580,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
85630,oraec12554-6
91900,oraec12554-6
10110,oraec12554-6
21930,oraec12554-10
28170,oraec12554-10
10050,oraec12554-10
800001,oraec12554-10
59920,oraec12554-10
62500,oraec12554-10
203,oraec12554-10
116910,oraec12554-10
854552,oraec12554-10
21930,oraec12554-12
28170,oraec12554-12
10050,oraec12554-12
800001,oraec12554-12
59920,oraec12554-12
62500,oraec12554-12
203,oraec12554-12
116910,oraec12554-12
854552,oraec12554-12
21930,oraec12554-14
28170,oraec12554-14
10050,oraec12554-14
800001,oraec12554-14
59920,oraec12554-14
62500,oraec12554-14
203,oraec12554-14
116910,oraec12554-14
854552,oraec12554-14
21930,oraec12554-16
28170,oraec12554-16
10050,oraec12554-16
800001,oraec12554-16
59920,oraec12554-16
62500,oraec12554-16
203,oraec12554-16
116910,oraec12554-16
854552,oraec12554-16
21930,oraec12554-18
28170,oraec12554-18
10050,oraec12554-18
800001,oraec12554-18
59920,oraec12554-18
62500,oraec12554-18
203,oraec12554-18
116910,oraec12554-18
854552,oraec12554-18
21930,oraec12554-20
28170,oraec12554-20
10050,oraec12554-20
800001,oraec12554-20
59920,oraec12554-20
62500,oraec12554-20
203,oraec12554-20
116910,oraec12554-20
854552,oraec12554-20
49460,oraec2788-2
21930,oraec2788-2
28170,oraec2788-2
10050,oraec2788-2
400313,oraec2788-2
59920,oraec2788-2
62500,oraec2788-2
203,oraec2788-2
116910,oraec2788-2
854552,oraec2788-2
21930,oraec2788-5
28170,oraec2788-5
10050,oraec2788-5
400313,oraec2788-5
59920,oraec2788-5
62500,oraec2788-5
203,oraec2788-5
116910,oraec2788-5
854552,oraec2788-5
21930,oraec2788-9
28170,oraec2788-9
10050,oraec2788-9
400313,oraec2788-9
59920,oraec2788-9
62500,oraec2788-9
203,oraec2788-9
116910,oraec2788-9
854552,oraec2788-9
21930,oraec2788-11
28170,oraec2788-11
10050,oraec2788-11
400313,oraec2788-11
59920,oraec2788-11
62500,oraec2788-11
203,oraec2788-11
116910,oraec2788-11
854552,oraec2788-11
21930,oraec2788-13
28170,oraec2788-13
10050,oraec2788-13
400313,oraec2788-13
59920,oraec2788-13
62500,oraec2788-13
203,oraec2788-13
116910,oraec2788-13
854552,oraec2788-13
49460,oraec1594-2
21930,oraec1594-2
28170,oraec1594-2
10050,oraec1594-2
702960,oraec1594-2
59920,oraec1594-2
62500,oraec1594-2
203,oraec1594-2
116910,oraec1594-2
854552,oraec1594-2
21930,oraec1594-6
28170,oraec1594-6
10050,oraec1594-6
702960,oraec1594-6
59920,oraec1594-6
62500,oraec1594-6
203,oraec1594-6
116910,oraec1594-6
854552,oraec1594-6
854546,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
854546,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
84820,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
47270,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
43580,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
85630,oraec1594-6
91900,oraec1594-6
10110,oraec1594-6
21930,oraec1594-10
28170,oraec1594-10
10050,oraec1594-10
702960,oraec1594-10
59920,oraec1594-10
62500,oraec1594-10
203,oraec1594-10
116910,oraec1594-10
854552,oraec1594-10
21930,oraec1594-12
28170,oraec1594-12
10050,oraec1594-12
702960,oraec1594-12
59920,oraec1594-12
62500,oraec1594-12
203,oraec1594-12
116910,oraec1594-12
854552,oraec1594-12
21930,oraec1594-14
28170,oraec1594-14
10050,oraec1594-14
702960,oraec1594-14
59920,oraec1594-14
62500,oraec1594-14
203,oraec1594-14
116910,oraec1594-14
854552,oraec1594-14
21930,oraec1594-16
28170,oraec1594-16
10050,oraec1594-16
702960,oraec1594-16
59920,oraec1594-16
62500,oraec1594-16
203,oraec1594-16
116910,oraec1594-16
854552,oraec1594-16
21930,oraec1594-18
28170,oraec1594-18
10050,oraec1594-18
702960,oraec1594-18
59920,oraec1594-18
62500,oraec1594-18
203,oraec1594-18
116910,oraec1594-18
854552,oraec1594-18
21930,oraec1594-20
28170,oraec1594-20
10050,oraec1594-20
702960,oraec1594-20
59920,oraec1594-20
62500,oraec1594-20
203,oraec1594-20
116910,oraec1594-20
854552,oraec1594-20
56890,oraec2789-18
851517,oraec2789-18
