id,sentence
60920,oraec333-2
138950,oraec333-2
161770,oraec333-2
34750,oraec333-2
64360,oraec333-2
227,oraec333-2
200018,oraec333-2
66270,oraec333-2
10050,oraec333-2
854810,oraec333-2
103410,oraec333-2
851809,oraec333-2
40620,oraec333-2
64360,oraec333-2
75070,oraec333-2
90260,oraec333-2
64360,oraec333-2
108980,oraec333-2
850814,oraec333-2
851450,oraec333-2
10110,oraec333-2
854809,oraec333-2
25650,oraec333-2
97660,oraec74-152
400083,oraec74-152
61370,oraec74-152
10050,oraec74-152
91900,oraec74-152
550008,oraec74-152
10030,oraec74-152
