id,sentence
21881,oraec1095-5
177740,oraec1095-5
800001,oraec1095-5
854551,oraec1095-5
800001,oraec1095-5
100310,oraec1095-5
10100,oraec1095-5
63970,oraec387-13
78870,oraec387-13
10110,oraec387-13
107500,oraec387-13
64360,oraec387-13
158390,oraec387-13
10050,oraec387-13
10050,oraec387-13
25750,oraec387-13
148520,oraec387-13
127740,oraec488-14
10030,oraec488-14
10030,oraec488-14
127740,oraec1113-13
10030,oraec1113-13
10050,oraec1113-13
69040,oraec1253-3
10050,oraec1253-3
80940,oraec1253-3
45820,oraec1253-3
64360,oraec1253-3
45530,oraec1253-3
10090,oraec1253-3
854581,oraec1253-3
174900,oraec1253-3
111770,oraec1253-3
115780,oraec1547-5
89590,oraec1547-5
44230,oraec1547-5
118590,oraec1547-5
58710,oraec1547-5
64360,oraec1547-5
10050,oraec1547-5
101620,oraec1547-5
854573,oraec1547-5
64360,oraec1547-5
35480,oraec1547-5
10050,oraec1547-5
141480,oraec1547-5
167010,oraec1547-5
80940,oraec1547-5
853340,oraec1547-5
154340,oraec1547-5
10110,oraec1547-5
66270,oraec1547-5
10110,oraec1547-5
141600,oraec1547-5
154340,oraec1547-5
10110,oraec1547-5
10110,oraec1547-5
25760,oraec1547-5
92560,oraec1547-5
62930,oraec1547-5
157160,oraec1547-5
10110,oraec1547-5
850833,oraec1547-5
10110,oraec1547-5
178580,oraec1547-5
64360,oraec1547-5
141480,oraec1547-5
63970,oraec1685-8
78870,oraec1685-8
10110,oraec1685-8
107500,oraec1685-8
64360,oraec1685-8
158390,oraec1685-8
10050,oraec1685-8
10050,oraec1685-8
25750,oraec1685-8
148520,oraec1685-8
107520,oraec3595-2
107510,oraec3595-2
10110,oraec3595-2
105640,oraec3595-2
113560,oraec3595-2
27860,oraec3595-2
114300,oraec3595-2
69040,oraec756-3
10050,oraec756-3
80940,oraec756-3
45820,oraec756-3
64360,oraec756-3
45530,oraec756-3
10090,oraec756-3
854581,oraec756-3
174900,oraec756-3
111770,oraec756-3
63970,oraec775-12
78870,oraec775-12
10110,oraec775-12
107500,oraec775-12
64360,oraec775-12
158390,oraec775-12
10050,oraec775-12
10050,oraec775-12
25750,oraec775-12
148520,oraec775-12
116800,oraec968-19
25130,oraec968-19
10130,oraec968-19
26660,oraec968-19
33560,oraec968-19
78870,oraec968-19
107500,oraec968-19
28250,oraec968-19
10050,oraec968-19
851711,oraec968-19
78870,oraec968-19
10050,oraec968-19
127740,oraec3708-2
400083,oraec3708-2
10110,oraec3708-2
49460,oraec3708-2
127740,oraec3763-8
400313,oraec3763-8
400330,oraec3763-8
10050,oraec3763-8
115780,oraec12386-4
89590,oraec12386-4
44230,oraec12386-4
118590,oraec12386-4
58710,oraec12386-4
141480,oraec12386-4
167010,oraec12386-4
111360,oraec12386-4
80940,oraec12386-4
853340,oraec12386-4
154340,oraec12386-4
10110,oraec12386-4
66270,oraec12386-4
10110,oraec12386-4
141600,oraec12386-4
154340,oraec12386-4
10110,oraec12386-4
10110,oraec12386-4
25760,oraec12386-4
851961,oraec181-4
10130,oraec181-4
44000,oraec181-4
64360,oraec181-4
31720,oraec181-4
170301,oraec181-4
31700,oraec181-4
10130,oraec181-4
121650,oraec181-4
64360,oraec181-4
10090,oraec181-4
89850,oraec181-4
183150,oraec181-4
10090,oraec181-4
91900,oraec181-4
58710,oraec181-4
179950,oraec181-4
10090,oraec181-4
91900,oraec181-4
854573,oraec181-4
851961,oraec181-4
31700,oraec181-4
10130,oraec181-4
44000,oraec181-4
64360,oraec181-4
31720,oraec181-4
170301,oraec181-4
10130,oraec181-4
121650,oraec181-4
64360,oraec181-4
10090,oraec181-4
89850,oraec181-4
183150,oraec181-4
10090,oraec181-4
91900,oraec181-4
58710,oraec181-4
179950,oraec181-4
10090,oraec181-4
91900,oraec181-4
854573,oraec181-4
21881,oraec698-49
854577,oraec698-49
10100,oraec698-49
64360,oraec698-49
10030,oraec698-49
850806,oraec189-4
10130,oraec189-4
44000,oraec189-4
64360,oraec189-4
31720,oraec189-4
10130,oraec189-4
170301,oraec189-4
31700,oraec189-4
10130,oraec189-4
121650,oraec189-4
64360,oraec189-4
10090,oraec189-4
89850,oraec189-4
183150,oraec189-4
91900,oraec189-4
58710,oraec189-4
179950,oraec189-4
10090,oraec189-4
91900,oraec189-4
854573,oraec189-4
850806,oraec189-4
31700,oraec189-4
10130,oraec189-4
44000,oraec189-4
64360,oraec189-4
31720,oraec189-4
10130,oraec189-4
170301,oraec189-4
10130,oraec189-4
121650,oraec189-4
64360,oraec189-4
10090,oraec189-4
89850,oraec189-4
183150,oraec189-4
91900,oraec189-4
58710,oraec189-4
179950,oraec189-4
10090,oraec189-4
91900,oraec189-4
854573,oraec189-4
