id,sentence
64440,oraec1604-2
129490,oraec1604-2
21930,oraec1604-2
64440,oraec1604-2
129490,oraec1604-2
21930,oraec1604-2
500024,oraec1604-2
64440,oraec1604-3
125510,oraec1604-3
400015,oraec1604-3
21930,oraec1604-3
400005,oraec1604-3
850787,oraec1604-3
400015,oraec1604-3
21930,oraec1604-3
500024,oraec1604-3
64440,oraec1604-5
129490,oraec1604-5
21930,oraec1604-5
64440,oraec1604-5
129490,oraec1604-5
21930,oraec1604-5
500024,oraec1604-5
64440,oraec1604-6
125510,oraec1604-6
400015,oraec1604-6
21930,oraec1604-6
400005,oraec1604-6
850787,oraec1604-6
400015,oraec1604-6
21930,oraec1604-6
500024,oraec1604-6
64440,oraec1604-8
129490,oraec1604-8
21930,oraec1604-8
64440,oraec1604-8
129490,oraec1604-8
21930,oraec1604-8
500024,oraec1604-8
64440,oraec1604-9
125510,oraec1604-9
400015,oraec1604-9
21930,oraec1604-9
400005,oraec1604-9
850787,oraec1604-9
400015,oraec1604-9
21930,oraec1604-9
500024,oraec1604-9
64440,oraec1604-11
129490,oraec1604-11
21930,oraec1604-11
64440,oraec1604-11
129490,oraec1604-11
21930,oraec1604-11
500024,oraec1604-11
64440,oraec1604-12
125510,oraec1604-12
400015,oraec1604-12
21930,oraec1604-12
400005,oraec1604-12
850787,oraec1604-12
400015,oraec1604-12
21930,oraec1604-12
500024,oraec1604-12
64440,oraec2766-2
125510,oraec2766-2
400015,oraec2766-2
21930,oraec2766-2
400005,oraec2766-2
850787,oraec2766-2
400015,oraec2766-2
21930,oraec2766-2
500024,oraec2766-2
64440,oraec2766-4
129490,oraec2766-4
21930,oraec2766-4
64440,oraec2766-4
129490,oraec2766-4
21930,oraec2766-4
500024,oraec2766-4
64440,oraec2766-5
125510,oraec2766-5
400015,oraec2766-5
21930,oraec2766-5
400005,oraec2766-5
850787,oraec2766-5
400015,oraec2766-5
21930,oraec2766-5
500024,oraec2766-5
64440,oraec2766-6
125510,oraec2766-6
400015,oraec2766-6
21930,oraec2766-6
64440,oraec2766-6
400005,oraec2766-6
850787,oraec2766-6
400015,oraec2766-6
21930,oraec2766-6
500024,oraec2766-6
