id,sentence
146610,oraec594-10
78870,oraec594-10
10070,oraec594-10
850787,oraec594-10
191,oraec594-10
10100,oraec594-10
146610,oraec205-18
78870,oraec205-18
10070,oraec205-18
850787,oraec205-18
191,oraec205-18
10100,oraec205-18
33560,oraec2506-7
10030,oraec2506-7
851525,oraec2506-7
22030,oraec2506-7
854565,oraec2506-7
10050,oraec2506-7
87560,oraec2506-7
28250,oraec2506-7
10050,oraec2506-7
91900,oraec2506-7
116800,oraec2506-7
10050,oraec2506-7
91140,oraec2506-7
854497,oraec2506-7
64360,oraec2506-7
73840,oraec2506-7
69040,oraec2506-7
10050,oraec2506-7
854530,oraec2506-7
116800,oraec2506-7
10050,oraec2506-7
180130,oraec2506-7
35990,oraec2506-7
24640,oraec2506-7
147260,oraec2506-7
61400,oraec2506-7
82940,oraec2506-7
110340,oraec2506-7
41050,oraec2506-7
32930,oraec2506-7
168970,oraec2506-7
33560,oraec2506-7
60220,oraec2506-7
32820,oraec2506-7
10050,oraec2506-7
64360,oraec2506-7
141620,oraec21-386
133940,oraec21-386
22160,oraec21-386
95870,oraec21-386
10130,oraec21-386
851206,oraec2901-5
107520,oraec2901-5
174260,oraec2901-5
550021,oraec2901-5
10100,oraec2901-5
851206,oraec1354-5
107520,oraec1354-5
174260,oraec1354-5
550021,oraec1354-5
10100,oraec1354-5
