id,sentence
851213,oraec110-10
64360,oraec110-10
96110,oraec110-10
99790,oraec110-10
128140,oraec2586-1
27560,oraec2586-1
46050,oraec2586-1
99790,oraec2586-1
850806,oraec2586-1
854503,oraec2586-1
64360,oraec2586-1
854540,oraec2586-1
21881,oraec139-8
90260,oraec139-8
10050,oraec139-8
10050,oraec139-8
20870,oraec270-20
85020,oraec270-20
30410,oraec270-20
68510,oraec270-20
10050,oraec270-20
110830,oraec270-38
182700,oraec270-38
10090,oraec270-38
171880,oraec270-38
800001,oraec270-38
854575,oraec270-38
152710,oraec270-38
854519,oraec1224-2
10010,oraec1224-2
2,oraec1224-2
66280,oraec1224-2
111230,oraec1224-2
10010,oraec1224-2
2,oraec1224-2
62900,oraec1224-2
500024,oraec1224-2
10100,oraec1224-2
26660,oraec1224-2
90260,oraec1224-2
60920,oraec1224-2
28170,oraec1224-2
10050,oraec1224-2
90260,oraec1224-2
59920,oraec1224-2
91900,oraec1224-2
58710,oraec1224-2
60920,oraec1224-2
28170,oraec1224-2
10050,oraec1224-2
800001,oraec1224-2
91900,oraec1224-2
58710,oraec1224-2
53300,oraec1224-2
10050,oraec1224-2
10050,oraec1224-2
152300,oraec1224-2
10050,oraec1224-2
92400,oraec1224-2
10050,oraec1224-2
110660,oraec1224-2
10050,oraec1224-2
600419,oraec1224-2
10050,oraec1224-2
854503,oraec1897-13
10110,oraec1897-13
78870,oraec1897-13
10110,oraec1897-13
800001,oraec1897-13
852605,oraec1897-13
69040,oraec1897-13
111600,oraec1958-4
10050,oraec1958-4
162450,oraec1958-4
10050,oraec1958-4
64360,oraec1958-4
99790,oraec1958-4
10050,oraec1958-4
854573,oraec1958-4
150110,oraec1958-4
162200,oraec1958-4
10050,oraec1958-4
180130,oraec1958-4
150450,oraec1958-4
10050,oraec1958-4
21881,oraec3900-6
800001,oraec3900-6
59920,oraec3900-6
155040,oraec3900-6
400015,oraec3900-6
850806,oraec3900-7
800001,oraec3900-7
59920,oraec3900-7
90260,oraec3900-7
173370,oraec3900-7
69040,oraec3971-15
800001,oraec3971-15
24290,oraec3971-15
851706,oraec3971-15
78870,oraec3971-15
800001,oraec3971-15
59920,oraec3971-15
71720,oraec3971-15
10120,oraec3971-15
851517,oraec3971-15
181780,oraec3971-15
78870,oraec3971-15
10050,oraec3971-15
129490,oraec3971-15
800001,oraec3971-15
59920,oraec3971-15
92560,oraec3971-15
10050,oraec3971-15
138280,oraec3971-15
800001,oraec3971-15
854491,oraec3971-15
10120,oraec3971-15
851263,oraec3971-15
112300,oraec3971-15
144850,oraec3971-15
400993,oraec3971-15
114740,oraec8196-2
400015,oraec8196-2
220,oraec8196-2
10050,oraec8196-2
10050,oraec8196-2
91900,oraec8196-2
104390,oraec8196-2
59920,oraec8196-2
60920,oraec8196-2
64360,oraec8196-2
854573,oraec8196-2
124220,oraec8196-2
183430,oraec8196-2
800001,oraec8196-2
854578,oraec12522-8
10110,oraec12522-8
28170,oraec12522-8
10110,oraec12522-8
181780,oraec12522-8
800001,oraec12522-8
149150,oraec12522-8
10050,oraec12522-8
854503,oraec12522-8
10050,oraec12522-8
129490,oraec12522-8
184370,oraec12522-8
850787,oraec12522-8
185290,oraec12522-8
90510,oraec12671-8
10110,oraec12671-8
92560,oraec12671-8
10110,oraec12671-8
851809,oraec1859-4
10030,oraec1859-4
78870,oraec1859-4
10050,oraec1859-4
61490,oraec1859-4
107520,oraec1859-4
10090,oraec1859-4
91900,oraec1859-4
66270,oraec1859-4
38910,oraec1859-4
854573,oraec1859-4
20030,oraec2420-1
38910,oraec2420-1
854573,oraec2420-1
25090,oraec2420-1
72470,oraec2420-1
90260,oraec2420-1
129740,oraec2420-1
10100,oraec2420-1
107520,oraec2420-1
31010,oraec2420-1
59920,oraec2420-1
850787,oraec2420-1
500066,oraec2420-1
20870,oraec157-21
85020,oraec157-21
30410,oraec157-21
