id,sentence
42410,oraec32-146
108220,oraec32-146
68320,oraec155-99
54210,oraec155-104
98700,oraec155-104
850814,oraec155-104
41980,oraec155-104
30410,oraec155-104
98700,oraec155-104
850814,oraec155-104
69000,oraec155-104
850787,oraec155-104
139490,oraec155-104
98700,oraec155-104
850814,oraec155-104
68320,oraec155-104
98700,oraec155-104
850814,oraec155-104
160800,oraec155-104
850787,oraec155-104
156510,oraec155-104
51330,oraec2355-4
97200,oraec2355-4
49460,oraec2355-4
91900,oraec2355-4
854557,oraec2355-4
852777,oraec2355-4
22030,oraec2355-4
10050,oraec2355-4
92560,oraec4011-1
850787,oraec4011-1
130360,oraec4011-1
69000,oraec4011-1
854578,oraec4011-1
64360,oraec4011-1
150140,oraec4011-1
850806,oraec4011-5
10030,oraec4011-5
850806,oraec7126-5
10030,oraec7126-5
92560,oraec2217-1
850787,oraec2217-1
130360,oraec2217-1
69000,oraec2217-1
854578,oraec2217-1
64360,oraec2217-1
150140,oraec2217-1
851961,oraec2217-5
10030,oraec2217-5
500002,oraec2217-11
27940,oraec2217-11
68680,oraec2217-11
850787,oraec2217-11
123230,oraec2217-11
400015,oraec2217-11
64360,oraec2217-11
10050,oraec2217-11
850787,oraec2217-11
123230,oraec2217-11
20380,oraec2217-11
51330,oraec2217-11
97200,oraec2217-11
49460,oraec2217-11
856211,oraec2217-11
10050,oraec2217-11
22030,oraec2217-11
78870,oraec2217-11
10050,oraec2217-11
