id,sentence
85490,oraec215-4
851809,oraec215-28
10050,oraec215-28
850836,oraec215-28
43010,oraec215-31
10050,oraec215-31
854543,oraec215-31
112400,oraec215-31
91900,oraec215-31
854578,oraec215-31
851809,oraec215-31
78870,oraec215-31
10050,oraec215-31
96210,oraec215-79
10050,oraec215-79
78870,oraec215-79
850836,oraec215-81
500020,oraec215-88
94180,oraec215-90
850833,oraec215-90
95620,oraec215-98
21881,oraec215-101
851809,oraec215-101
10030,oraec215-101
54620,oraec215-101
78870,oraec215-101
90260,oraec215-101
851809,oraec215-101
185810,oraec215-137
10050,oraec215-137
24640,oraec215-137
50340,oraec1523-4
10050,oraec1523-4
702030,oraec1523-4
78870,oraec1523-4
185810,oraec1523-4
852269,oraec1523-4
600290,oraec1523-4
62910,oraec66-21
167210,oraec66-21
10030,oraec66-21
127770,oraec66-21
64360,oraec66-21
852152,oraec66-21
854588,oraec66-21
64360,oraec66-21
117790,oraec66-21
64360,oraec66-21
850833,oraec66-21
164200,oraec66-21
64360,oraec66-21
109870,oraec66-21
859288,oraec66-21
30750,oraec66-21
81660,oraec66-21
858535,oraec66-21
91900,oraec66-21
10050,oraec66-21
854578,oraec66-21
233,oraec66-21
78870,oraec66-21
851446,oraec66-21
850317,oraec66-21
550021,oraec66-21
10030,oraec66-21
32820,oraec66-21
62910,oraec66-22
851426,oraec66-22
60430,oraec66-22
550118,oraec66-22
167210,oraec66-22
127770,oraec66-22
21881,oraec66-22
55500,oraec66-22
60082,oraec66-22
90260,oraec66-22
21881,oraec66-22
55500,oraec66-22
60082,oraec66-22
90280,oraec66-22
21881,oraec66-22
55500,oraec66-22
60082,oraec66-22
110360,oraec66-22
21881,oraec66-22
55500,oraec66-22
60082,oraec66-22
110390,oraec66-22
21881,oraec66-22
60083,oraec66-22
94620,oraec66-22
91900,oraec66-22
851809,oraec66-22
600036,oraec66-22
10100,oraec66-22
24640,oraec66-22
95620,oraec66-23
167210,oraec66-23
10030,oraec66-23
21881,oraec66-23
10090,oraec66-23
64360,oraec66-23
113560,oraec66-23
51330,oraec66-35
10050,oraec66-35
88040,oraec66-35
81660,oraec66-35
79100,oraec66-35
104690,oraec66-35
10110,oraec66-35
51970,oraec66-36
10050,oraec66-36
851711,oraec66-36
10050,oraec66-36
81660,oraec66-36
78870,oraec66-36
400645,oraec66-36
851443,oraec66-36
850836,oraec66-36
107520,oraec66-36
78870,oraec66-36
10050,oraec66-36
856873,oraec66-36
64360,oraec66-36
233,oraec66-36
47270,oraec66-36
22030,oraec66-36
95620,oraec66-36
10090,oraec66-36
71140,oraec66-36
850787,oraec66-36
169110,oraec66-36
170480,oraec66-36
850796,oraec66-36
227,oraec66-36
850787,oraec66-36
58710,oraec66-36
39890,oraec66-36
850317,oraec66-36
854514,oraec66-36
64360,oraec66-36
183850,oraec66-36
81660,oraec66-36
107520,oraec66-36
34860,oraec66-36
850787,oraec66-36
851809,oraec66-36
70420,oraec66-36
78870,oraec66-36
851446,oraec66-36
850317,oraec66-36
38530,oraec66-36
37500,oraec66-36
81660,oraec66-36
91900,oraec66-36
850836,oraec66-36
95620,oraec66-47
129490,oraec66-47
105480,oraec66-47
851201,oraec175-11
64360,oraec175-11
107510,oraec175-11
95620,oraec175-11
170100,oraec175-11
154400,oraec175-11
10110,oraec175-11
95620,oraec1127-18
10030,oraec1127-18
167210,oraec1127-18
91900,oraec1127-18
851711,oraec1127-18
26870,oraec1127-18
147350,oraec1127-18
500002,oraec1127-19
703075,oraec1127-19
185810,oraec1127-19
78870,oraec1127-19
10110,oraec1127-19
851809,oraec1127-19
78870,oraec1127-19
10030,oraec1127-19
600030,oraec1127-19
10110,oraec1127-19
97580,oraec1127-19
78870,oraec1127-19
10030,oraec1127-19
107520,oraec1127-19
851446,oraec1127-19
89850,oraec1127-19
81660,oraec1127-19
21881,oraec1127-19
10030,oraec1127-19
91900,oraec1127-19
185810,oraec1127-19
185810,oraec1754-4
10050,oraec1754-4
100160,oraec1754-4
78870,oraec1754-4
10030,oraec1754-4
46050,oraec1754-4
10050,oraec1754-4
107520,oraec1754-4
77960,oraec1754-4
854519,oraec1754-4
91900,oraec1754-4
61370,oraec1754-4
10050,oraec1754-4
25060,oraec1754-4
84350,oraec4124-2
851446,oraec4124-2
150560,oraec4124-2
142800,oraec4124-2
10110,oraec4124-2
851711,oraec4124-2
48440,oraec4124-2
10050,oraec4124-2
64360,oraec4124-2
23290,oraec4124-2
10050,oraec4124-2
150560,oraec5365-15
48310,oraec5365-15
131910,oraec5365-15
10100,oraec5365-15
854561,oraec5365-16
21020,oraec5365-16
125010,oraec5365-16
64360,oraec5365-16
26410,oraec5365-16
851809,oraec33-54
10110,oraec33-54
100310,oraec33-54
10030,oraec33-54
851446,oraec33-54
40610,oraec33-54
850831,oraec33-54
174260,oraec34-72
10050,oraec34-72
32550,oraec34-72
10050,oraec34-72
170080,oraec34-72
10050,oraec34-72
400118,oraec34-72
170100,oraec34-72
34360,oraec34-72
10050,oraec34-72
91900,oraec34-72
124950,oraec34-72
550032,oraec34-112
27940,oraec34-112
851446,oraec34-112
46060,oraec34-112
125670,oraec34-112
10050,oraec34-112
165220,oraec34-112
10030,oraec34-112
62910,oraec84-17
109870,oraec84-17
10110,oraec84-17
107520,oraec84-17
64360,oraec84-17
112330,oraec84-17
81680,oraec84-17
49830,oraec84-17
850794,oraec84-17
132020,oraec84-17
120700,oraec84-17
66460,oraec84-17
109190,oraec84-17
851961,oraec133-5
851711,oraec133-5
10090,oraec133-5
119140,oraec133-5
73860,oraec133-5
122000,oraec133-5
102190,oraec133-5
95620,oraec158-14
10110,oraec158-14
851426,oraec158-14
69300,oraec158-14
851426,oraec158-14
38530,oraec158-14
851446,oraec158-14
89850,oraec158-14
500053,oraec158-14
10110,oraec158-14
851809,oraec169-82
10030,oraec169-82
62900,oraec169-82
10050,oraec169-82
65370,oraec169-82
550008,oraec169-82
10110,oraec169-82
30410,oraec169-82
95620,oraec209-11
170100,oraec209-11
39920,oraec209-11
10050,oraec209-11
