id,sentence
850814,oraec1143-10
77800,oraec1143-10
850814,oraec1143-10
55500,oraec2409-4
27940,oraec2409-4
22030,oraec2409-4
100400,oraec2409-4
26700,oraec2409-4
21881,oraec2409-4
10030,oraec2409-4
851809,oraec2409-4
78870,oraec2409-4
10110,oraec2409-4
600043,oraec2409-4
850794,oraec2409-4
10110,oraec2409-4
119600,oraec2409-4
21881,oraec2409-4
10030,oraec2409-4
851711,oraec2409-4
78870,oraec2409-4
10110,oraec2409-4
851446,oraec2409-4
92810,oraec2409-4
185810,oraec2409-4
10030,oraec2409-4
78870,oraec2409-4
10110,oraec2409-4
64970,oraec2409-4
