id,sentence
854581,oraec17-38
10030,oraec17-38
23290,oraec17-38
10030,oraec17-38
127330,oraec17-38
10030,oraec17-38
854529,oraec17-38
10030,oraec17-38
150560,oraec17-38
10030,oraec17-38
120010,oraec17-38
850787,oraec17-38
70730,oraec17-38
854503,oraec17-127
10030,oraec17-127
32000,oraec17-127
10030,oraec17-127
107520,oraec17-127
20090,oraec17-127
10050,oraec17-127
35400,oraec17-127
81660,oraec17-127
107520,oraec17-127
854581,oraec91-47
10030,oraec91-47
23290,oraec91-47
10030,oraec91-47
127330,oraec91-47
10030,oraec91-47
854529,oraec91-47
10030,oraec91-47
150560,oraec91-47
10030,oraec91-47
120010,oraec91-47
850787,oraec91-47
70730,oraec91-47
854581,oraec34-46
10030,oraec34-46
23290,oraec34-46
10030,oraec34-46
127330,oraec34-46
10030,oraec34-46
854529,oraec34-46
10030,oraec34-46
150560,oraec34-46
10030,oraec34-46
120010,oraec34-46
850787,oraec34-46
70730,oraec34-46
851711,oraec34-131
10030,oraec34-131
62420,oraec34-131
10030,oraec34-131
107520,oraec34-131
156060,oraec34-131
10050,oraec34-131
35400,oraec34-131
81660,oraec34-131
107520,oraec34-131
854581,oraec322-46
10030,oraec322-46
23290,oraec322-46
10030,oraec322-46
127330,oraec322-46
10030,oraec322-46
854529,oraec322-46
10030,oraec322-46
150560,oraec322-46
10030,oraec322-46
120010,oraec322-46
850787,oraec322-46
70730,oraec322-46
