id,sentence
129490,oraec91-18
97580,oraec91-18
91900,oraec91-18
854530,oraec91-18
114300,oraec91-18
91900,oraec91-18
854551,oraec91-18
25120,oraec91-18
176700,oraec91-18
129490,oraec91-19
104600,oraec91-19
21930,oraec91-19
10050,oraec91-19
26870,oraec91-19
10050,oraec91-19
146240,oraec91-19
64360,oraec91-19
176700,oraec91-19
70730,oraec91-19
81660,oraec91-19
851961,oraec91-19
184990,oraec91-19
10090,oraec91-19
168970,oraec671-1
72470,oraec671-1
88040,oraec671-1
129490,oraec671-1
64360,oraec671-1
150150,oraec671-1
850787,oraec671-1
91900,oraec671-1
400039,oraec671-1
64360,oraec671-1
52730,oraec671-1
129930,oraec514-8
10050,oraec514-8
854573,oraec514-8
129490,oraec514-8
854502,oraec514-8
10050,oraec514-8
850836,oraec514-8
10050,oraec514-8
174480,oraec514-8
64360,oraec514-8
63920,oraec514-8
94530,oraec514-8
854581,oraec514-8
10050,oraec514-8
59610,oraec514-8
853589,oraec514-8
167210,oraec514-8
10050,oraec514-8
164430,oraec514-8
131460,oraec514-8
64970,oraec514-8
850830,oraec514-8
853590,oraec514-8
77020,oraec514-11
10050,oraec514-11
854573,oraec514-11
129490,oraec514-11
129490,oraec1624-17
152670,oraec1624-17
10050,oraec1624-17
64360,oraec1624-17
100520,oraec1624-17
34080,oraec1624-17
10050,oraec1624-17
450155,oraec1624-17
41050,oraec1624-17
64360,oraec1624-17
171120,oraec1624-17
851170,oraec1121-3
64360,oraec1121-3
550035,oraec1121-3
64360,oraec1121-3
109800,oraec1121-3
500004,oraec1121-3
550228,oraec1121-3
109800,oraec1121-3
70530,oraec1121-3
850116,oraec1121-3
67940,oraec342-3
51980,oraec342-3
851809,oraec342-3
104690,oraec342-3
10050,oraec342-3
64360,oraec342-3
34360,oraec342-3
10060,oraec342-3
854591,oraec342-3
10050,oraec342-3
850787,oraec342-3
60430,oraec342-3
400004,oraec342-3
129490,oraec342-3
64360,oraec342-3
105780,oraec342-3
130360,oraec342-3
851809,oraec342-3
99060,oraec342-3
129490,oraec1428-3
64360,oraec1428-3
90260,oraec1428-3
38530,oraec1428-3
128660,oraec1428-3
64360,oraec1428-3
26140,oraec1428-3
129490,oraec34-18
104600,oraec34-18
21930,oraec34-18
10050,oraec34-18
26870,oraec34-18
10050,oraec34-18
146240,oraec34-18
64360,oraec34-18
176700,oraec34-18
70730,oraec34-18
81660,oraec34-18
851961,oraec34-18
184990,oraec34-18
10090,oraec34-18
129490,oraec111-15
104600,oraec111-15
21930,oraec111-15
10050,oraec111-15
26870,oraec111-15
10050,oraec111-15
146240,oraec111-15
64360,oraec111-15
176700,oraec111-15
70730,oraec111-15
81660,oraec111-15
851961,oraec111-15
184990,oraec111-15
10090,oraec111-15
851203,oraec22-38
64360,oraec22-38
176750,oraec22-38
31080,oraec22-38
10050,oraec22-38
107520,oraec22-38
96270,oraec22-38
