id,sentence
851809,oraec247-13
10070,oraec247-13
851519,oraec247-13
851809,oraec247-13
78870,oraec247-13
10130,oraec247-13
71080,oraec247-13
850787,oraec247-13
850238,oraec247-13
850787,oraec247-13
203,oraec247-13
500273,oraec247-13
25120,oraec247-13
500066,oraec247-13
400313,oraec1014-4
851517,oraec1014-4
850787,oraec1014-4
175600,oraec1014-4
60920,oraec1014-4
64360,oraec1014-4
850833,oraec1014-4
854416,oraec913-4
401175,oraec913-4
851517,oraec913-4
850787,oraec913-4
175600,oraec913-4
60920,oraec913-4
64360,oraec913-4
850833,oraec913-4
21881,oraec203-34
10050,oraec203-34
851809,oraec203-34
10050,oraec203-34
72470,oraec203-34
10050,oraec203-34
81660,oraec203-34
850796,oraec203-34
90260,oraec203-34
89850,oraec203-34
24640,oraec203-34
851517,oraec67-104
850787,oraec67-104
81260,oraec67-104
850787,oraec67-104
58710,oraec67-104
108040,oraec67-107
27940,oraec67-107
600041,oraec67-107
64360,oraec67-107
25750,oraec67-107
107500,oraec67-107
78140,oraec67-107
107520,oraec67-107
10050,oraec67-107
400005,oraec67-107
81650,oraec67-107
10050,oraec67-107
86430,oraec67-163
10110,oraec67-163
66750,oraec67-163
851449,oraec67-163
28510,oraec67-163
148870,oraec67-163
26350,oraec67-163
133190,oraec67-163
183430,oraec67-163
71790,oraec67-163
110200,oraec67-163
25750,oraec67-163
49460,oraec67-163
501172,oraec67-174
10100,oraec67-174
170470,oraec67-174
851517,oraec67-174
850787,oraec67-174
28390,oraec67-174
850800,oraec67-174
170470,oraec67-174
850787,oraec67-174
28410,oraec67-174
20030,oraec67-205
116350,oraec67-205
108540,oraec67-205
44020,oraec67-205
10050,oraec67-205
59170,oraec67-205
181350,oraec67-205
10050,oraec67-205
181401,oraec67-205
86430,oraec67-205
10110,oraec67-205
66750,oraec67-205
851449,oraec67-205
851560,oraec67-205
851711,oraec67-205
78870,oraec67-205
10100,oraec67-205
82220,oraec67-205
253,oraec67-205
91900,oraec67-205
851809,oraec67-205
126390,oraec67-205
116800,oraec67-205
10050,oraec67-205
851711,oraec67-205
152300,oraec67-205
64360,oraec67-205
21100,oraec67-205
22030,oraec67-205
60920,oraec67-205
64360,oraec67-205
126390,oraec67-205
10100,oraec67-205
851961,oraec67-210
851809,oraec67-210
170100,oraec67-210
78870,oraec67-210
10030,oraec67-210
30750,oraec67-210
64360,oraec67-210
55150,oraec67-210
90260,oraec67-210
851427,oraec67-214
851560,oraec67-214
56180,oraec67-214
851517,oraec67-214
271,oraec67-214
851517,oraec67-214
82260,oraec67-214
851517,oraec67-214
851427,oraec67-215
55150,oraec67-215
90260,oraec67-215
109370,oraec67-215
851517,oraec67-215
168040,oraec67-215
851517,oraec67-215
27940,oraec249-33
600041,oraec249-33
64360,oraec249-33
203,oraec249-33
25130,oraec249-33
20880,oraec249-33
27940,oraec249-47
600041,oraec249-47
64360,oraec249-47
63890,oraec249-47
854564,oraec249-47
28290,oraec249-47
851535,oraec249-47
27940,oraec807-4
600041,oraec807-4
64360,oraec807-4
90260,oraec807-4
182390,oraec807-4
134670,oraec807-4
49460,oraec807-4
91900,oraec807-4
116800,oraec807-4
10050,oraec807-4
99060,oraec807-4
52360,oraec807-4
27940,oraec807-6
600041,oraec807-6
64360,oraec807-6
90260,oraec807-6
74950,oraec807-6
80940,oraec807-6
134370,oraec807-6
116800,oraec807-6
850787,oraec807-6
49460,oraec807-6
118320,oraec807-6
131530,oraec807-6
107520,oraec807-6
10050,oraec807-6
27940,oraec998-4
600041,oraec998-4
64360,oraec998-4
90260,oraec998-4
182390,oraec998-4
134670,oraec998-4
49460,oraec998-4
91900,oraec998-4
116800,oraec998-4
10050,oraec998-4
99060,oraec998-4
52360,oraec998-4
27940,oraec998-6
600041,oraec998-6
64360,oraec998-6
74750,oraec998-6
80940,oraec998-6
134370,oraec998-6
116800,oraec998-6
850787,oraec998-6
49460,oraec998-6
118320,oraec998-6
131530,oraec998-6
107520,oraec998-6
10050,oraec998-6
26870,oraec1032-15
10030,oraec1032-15
854535,oraec1032-15
182900,oraec1032-15
64360,oraec1032-15
129740,oraec1032-15
10030,oraec1032-15
174900,oraec1032-15
107520,oraec1032-15
44660,oraec1032-15
10110,oraec1032-15
850787,oraec1032-15
171680,oraec1032-15
20030,oraec1032-20
163210,oraec1032-20
26870,oraec1032-20
78870,oraec1032-20
10050,oraec1032-20
25990,oraec1032-20
64360,oraec1032-20
854557,oraec1032-20
500679,oraec1032-20
91900,oraec1032-20
21940,oraec1032-20
851676,oraec1032-20
107520,oraec1032-20
500679,oraec1032-20
20030,oraec1117-20
28730,oraec1117-20
850787,oraec1117-20
450403,oraec1117-20
26870,oraec1117-20
78870,oraec1117-20
10030,oraec1117-20
29590,oraec1117-20
111360,oraec1117-20
28250,oraec1451-51
10030,oraec1451-51
66270,oraec1451-51
10100,oraec1451-51
64371,oraec1451-51
500925,oraec1451-51
167920,oraec1451-51
851522,oraec1451-51
850787,oraec1451-51
109870,oraec1451-51
35990,oraec1451-51
21881,oraec2986-32
10050,oraec2986-32
851809,oraec2986-32
10050,oraec2986-32
72470,oraec2986-32
10050,oraec2986-32
81660,oraec2986-32
850796,oraec2986-32
90260,oraec2986-32
89850,oraec2986-32
64360,oraec2986-32
10090,oraec2986-32
20030,oraec3352-6
74630,oraec3352-6
850787,oraec3352-6
141560,oraec3352-6
26870,oraec3352-6
78870,oraec3352-6
10030,oraec3352-6
168810,oraec3352-6
44750,oraec3352-6
10110,oraec3352-6
850796,oraec3352-6
32820,oraec3352-6
10110,oraec3352-6
47280,oraec3352-6
131460,oraec3352-6
64360,oraec3352-6
500272,oraec3352-6
851961,oraec5281-5
851809,oraec5281-5
170100,oraec5281-5
78870,oraec5281-5
10030,oraec5281-5
30750,oraec5281-5
64360,oraec5281-5
