id,sentence
79450,oraec3997-2
105360,oraec3997-2
107520,oraec3997-2
10090,oraec3997-2
64410,oraec7-327
70011,oraec7-327
132830,oraec178-21
10050,oraec178-21
91900,oraec178-21
60220,oraec178-21
10050,oraec178-21
78770,oraec178-21
129490,oraec178-21
154400,oraec178-21
132830,oraec178-36
10050,oraec178-36
91900,oraec178-36
60220,oraec178-36
10050,oraec178-36
78770,oraec178-36
129490,oraec178-36
154400,oraec178-36
132830,oraec604-10
10050,oraec604-10
91900,oraec604-10
60220,oraec604-10
10050,oraec604-10
52360,oraec604-10
129490,oraec604-10
154400,oraec604-10
132830,oraec604-14
10050,oraec604-14
91900,oraec604-14
60220,oraec604-14
10050,oraec604-14
52360,oraec604-14
129490,oraec604-14
52360,oraec604-14
63460,oraec2-244
10050,oraec2-244
64360,oraec2-244
161180,oraec2-244
116761,oraec2-244
10050,oraec2-244
42990,oraec2-244
10050,oraec2-244
64360,oraec2-244
141480,oraec2-244
500903,oraec2-244
21930,oraec44-9
10110,oraec44-9
78870,oraec44-9
42370,oraec44-9
23290,oraec44-9
42370,oraec44-9
550349,oraec260-98
107520,oraec260-98
64360,oraec260-98
10050,oraec260-98
21930,oraec31-9
10110,oraec31-9
78870,oraec31-9
42370,oraec31-9
23290,oraec31-9
42370,oraec31-9
21930,oraec16-9
10110,oraec16-9
78870,oraec16-9
42370,oraec16-9
23290,oraec16-9
42370,oraec16-9
