id,sentence
851427,oraec150-44
167790,oraec150-44
46050,oraec150-44
852009,oraec150-44
107520,oraec150-44
72470,oraec150-44
46050,oraec150-44
851454,oraec150-44
852471,oraec150-44
162930,oraec150-44
10110,oraec150-44
851711,oraec150-44
10110,oraec150-44
129490,oraec150-44
851454,oraec150-44
851428,oraec150-44
850806,oraec150-51
167790,oraec150-51
72470,oraec150-51
10110,oraec150-51
127770,oraec150-51
10110,oraec150-51
851711,oraec150-51
10110,oraec150-51
26870,oraec150-51
78870,oraec150-51
10030,oraec150-51
550126,oraec150-51
851427,oraec163-15
854578,oraec163-15
10130,oraec163-15
167210,oraec163-15
851449,oraec163-15
10050,oraec163-15
10130,oraec163-15
154340,oraec163-15
10130,oraec163-15
550100,oraec163-15
550101,oraec163-15
851427,oraec19-203
133620,oraec19-203
117280,oraec19-203
10110,oraec19-203
133620,oraec19-203
10110,oraec19-203
851427,oraec19-221
168510,oraec19-221
10050,oraec19-221
10110,oraec19-221
168510,oraec19-221
10110,oraec19-221
127840,oraec55-204
10090,oraec55-204
127770,oraec55-204
854546,oraec197-41
22570,oraec197-41
851809,oraec197-41
160590,oraec197-41
106000,oraec197-41
65300,oraec2232-16
185810,oraec2232-16
10050,oraec2232-16
78870,oraec2232-16
10110,oraec2232-16
127770,oraec2232-16
163760,oraec2232-16
854543,oraec2232-16
10110,oraec2232-16
185810,oraec2232-16
10110,oraec2232-16
78870,oraec2232-16
10050,oraec2232-16
851427,oraec2232-19
65300,oraec2232-19
851711,oraec2232-19
10050,oraec2232-19
78870,oraec2232-19
10110,oraec2232-19
61400,oraec2232-19
10110,oraec2232-19
113560,oraec2232-19
10110,oraec2232-19
183430,oraec2232-19
10110,oraec2232-19
852133,oraec2232-19
116550,oraec2232-19
10110,oraec2232-19
850831,oraec2530-9
10100,oraec2530-9
10130,oraec2530-9
26870,oraec2530-9
10130,oraec2530-9
127770,oraec2530-9
163760,oraec2530-9
854543,oraec2530-9
550023,oraec1653-1
550074,oraec1653-1
550016,oraec1653-1
851711,oraec1653-1
855717,oraec1653-1
21930,oraec1653-1
550024,oraec1653-1
64360,oraec1653-1
550075,oraec1653-1
91900,oraec1653-1
137760,oraec1653-1
851446,oraec1653-1
70130,oraec1653-1
851711,oraec1653-1
107510,oraec1653-1
850787,oraec1653-1
550024,oraec1653-1
859134,oraec1653-1
851427,oraec1653-1
85420,oraec1653-1
167210,oraec1653-1
10110,oraec1653-1
850802,oraec1653-1
24640,oraec1653-1
10110,oraec1653-1
97580,oraec1653-1
10110,oraec1653-1
107520,oraec1653-1
10090,oraec1653-1
78870,oraec1653-1
400013,oraec1653-1
550015,oraec1653-1
170100,oraec23-166
21550,oraec23-166
10090,oraec23-166
64360,oraec23-166
854491,oraec23-166
850787,oraec23-166
74950,oraec23-166
174240,oraec23-166
170100,oraec23-168
90880,oraec23-168
10090,oraec23-168
851427,oraec24-229
851453,oraec24-229
62180,oraec24-229
54210,oraec24-229
500034,oraec24-229
170100,oraec24-229
851711,oraec24-229
97350,oraec24-229
159230,oraec24-229
850787,oraec24-229
68320,oraec24-229
155670,oraec24-229
170100,oraec54-96
173210,oraec54-96
10050,oraec54-96
64360,oraec54-96
54210,oraec54-96
125040,oraec135-49
168280,oraec135-49
10090,oraec135-49
854577,oraec135-49
10090,oraec135-49
24640,oraec135-49
851427,oraec135-54
177620,oraec135-54
854577,oraec135-54
850787,oraec135-54
125010,oraec135-54
10110,oraec135-54
43010,oraec135-54
10110,oraec135-54
184630,oraec135-54
10110,oraec135-54
107520,oraec135-54
854577,oraec135-54
10050,oraec135-54
851427,oraec219-35
99360,oraec219-35
10050,oraec219-35
850794,oraec219-35
10050,oraec219-35
10110,oraec219-35
172320,oraec219-35
10110,oraec219-35
129490,oraec219-35
64360,oraec219-35
159230,oraec219-35
850787,oraec219-35
104800,oraec219-35
600304,oraec219-35
28350,oraec219-36
10110,oraec219-36
50980,oraec219-36
10110,oraec219-36
129490,oraec219-36
64360,oraec219-36
64200,oraec219-36
850787,oraec219-36
178470,oraec219-36
107520,oraec219-36
92,oraec219-36
851427,oraec219-37
65300,oraec219-37
174590,oraec219-37
10050,oraec219-37
10110,oraec219-37
851809,oraec219-37
10110,oraec219-37
81590,oraec219-37
850787,oraec219-37
851677,oraec219-37
77310,oraec219-37
851427,oraec229-5
65300,oraec229-5
152720,oraec229-5
108220,oraec229-5
170100,oraec229-5
184090,oraec229-5
170100,oraec229-5
850796,oraec229-5
184090,oraec229-5
32830,oraec229-5
