ORAEC,Trismegistos Text
oraec1169,57201
oraec1171,134299
oraec1172,381088
oraec1181,380868
oraec1192,134515
oraec1196,139342
oraec1219,380655
oraec1227,134515
oraec1230,134299
oraec1232,136395
oraec1233,57201
oraec1235,134299
oraec1236,134299
oraec1237,380868
oraec1239,380868
oraec1240,134299
oraec1243,381290
oraec1244,134306
oraec1250,380868
oraec1258,322164
oraec1262,755258
oraec1266,381233
oraec1268,56996
oraec1269,755220
oraec1275,57201
oraec1279,134299
oraec1280,381290
oraec1283,134265
oraec1292,755256
oraec1299,381201
oraec1310,57201
oraec1316,139343
oraec1318,139468
oraec1319,322163
oraec1323,381201
oraec1344,380655
oraec1346,381200
oraec1363,380868
oraec1367,134299
oraec1368,134267
oraec1369,57201
oraec1372,381287
oraec1380,134515
oraec1383,134299
oraec1390,322161
oraec1392,322163
oraec1395,134299
oraec1396,136014
oraec1397,134515
oraec1401,134308
oraec1403,381201
oraec1405,134286
oraec1409,134299
oraec1420,755220
oraec1422,136053
oraec1427,134515
oraec1432,57201
oraec1441,134286
oraec1442,134515
oraec1443,381200
oraec1447,134515
oraec1450,380868
oraec1451,134299
oraec1452,57201
oraec1454,134299
oraec1456,755257
oraec1461,139299
oraec1466,381233
oraec1469,381201
oraec1475,381233
oraec1477,57201
oraec1481,755152
oraec1488,380868
oraec1493,392529
oraec1508,970713
oraec1521,381071
oraec1523,381218
oraec1525,380656
oraec1531,139492
oraec1554,57201
oraec1557,57201
oraec1558,380656
oraec1559,57201
oraec1564,381201
oraec1568,57201
oraec1570,134299
oraec1575,57201
oraec1577,322163
oraec1584,381200
oraec1589,380656
oraec1591,57201
oraec1595,134299
oraec1600,755051
oraec1607,134515
oraec1608,134515
oraec1614,380868
oraec1628,701193
oraec1633,380868
oraec1642,57201
oraec1644,134299
oraec1647,755038
oraec1651,134357
oraec1652,322164
oraec1658,134299
oraec1669,381200
oraec1671,57201
oraec1672,322163
oraec1676,381233
oraec1678,755199
oraec1686,381201
oraec1687,380902
oraec1692,381200
oraec1696,134515
oraec1699,380683
oraec1704,134265
oraec1705,134515
oraec1707,57201
oraec1716,139336
oraec1728,755150
oraec1731,755045
oraec1756,134515
oraec1778,755111
oraec1780,134286
oraec1782,755002
oraec1792,139314
oraec1811,134299
oraec1814,57201
oraec1827,755209
oraec1833,134299
oraec1835,57201
oraec1837,57201
oraec1840,381088
oraec1845,134265
oraec1848,57201
oraec1852,139414
oraec1862,134299
oraec1866,134299
oraec1869,134267
oraec1877,380656
oraec1879,322163
oraec1884,134346
oraec1890,139353
oraec1898,57201
oraec1913,380868
oraec1917,136093
oraec1919,134299
oraec1920,134357
oraec1922,134515
oraec1923,134299
oraec1926,57201
oraec1935,322164
oraec1936,134299
oraec1937,134267
oraec1951,755090
oraec1957,134267
oraec1959,57201
oraec1965,57201
oraec1967,134299
oraec1971,380868
oraec1975,139508
oraec1978,134265
oraec1979,134299
oraec1983,381089
oraec1988,381200
oraec1989,57201
oraec1997,134267
oraec2004,139338
oraec2006,57201
oraec2020,57201
oraec2022,56996
oraec2023,380655
oraec2027,380655
oraec2030,57201
oraec2042,134267
oraec2064,380656
oraec2082,381217
oraec2089,322163
oraec2095,970648
oraec2096,970673
oraec2099,381201
oraec2100,139337
oraec2133,57201
oraec2136,139464
oraec2157,139455
oraec2158,139331
oraec2163,139308
oraec2164,139316
oraec2195,134299
oraec2198,57201
oraec2204,134299
oraec2207,381201
oraec2212,134299
oraec2213,134515
oraec2214,134299
oraec2217,57201
oraec2220,134515
oraec2234,134515
oraec2243,381290
oraec2244,139509
oraec2246,755220
oraec2259,134299
oraec2265,380902
oraec2267,380655
oraec2268,134515
oraec2271,57201
oraec2272,380656
oraec2275,381089
oraec2276,380868
oraec2277,134299
oraec2278,57201
oraec2280,57201
oraec2283,755239
oraec2286,755199
oraec2290,322164
oraec2300,380902
oraec2307,57201
oraec2309,755172
oraec2315,134515
oraec2323,380868
oraec2324,134346
oraec2326,380656
oraec2327,380868
oraec2333,134299
oraec2342,57201
oraec2345,381088
oraec2347,874143
oraec2350,134515
oraec2352,57201
oraec2353,380868
oraec2355,134299
oraec2360,57201
oraec2370,134346
oraec2376,134299
oraec2386,57201
oraec2389,134299
oraec2402,134317
oraec2403,380868
oraec2405,134286
oraec2407,381200
oraec2412,134281
oraec2433,57201
oraec2434,57201
oraec2440,381200
oraec2447,380656
oraec2459,139362
oraec2464,380868
oraec2468,134299
oraec2471,57201
oraec2472,136082
oraec2483,57201
oraec2499,57201
oraec2501,381088
oraec2502,380655
oraec2506,134299
oraec2509,139344
oraec2510,380868
oraec2511,56996
oraec2540,322162
oraec2541,755051
oraec2544,322163
oraec2548,381290
oraec2554,970823
oraec2556,970649
oraec2557,970697
oraec2558,139315
oraec2560,874146
oraec2566,380868
oraec2582,755262
oraec2590,381163
oraec2619,57201
oraec2632,381201
oraec2644,380656
oraec2645,139417
oraec2653,134515
oraec2659,134515
oraec2662,322163
oraec2691,139309
oraec2736,874146
oraec2743,381085
oraec2765,139358
oraec2775,57201
oraec2783,380868
oraec2787,134515
oraec2789,134299
oraec2799,57201
oraec2809,57201
oraec2827,380655
oraec2832,134515
oraec2838,380868
oraec2839,134286
oraec2847,381290
oraec2849,380902
oraec2850,322163
oraec2867,381201
oraec2878,134299
oraec2879,755220
oraec2880,381088
oraec2889,380902
oraec2894,134308
oraec2895,134265
oraec2901,381201
oraec2906,134265
oraec2914,134265
oraec2923,57201
oraec2924,134267
oraec2927,56996
oraec2935,57201
oraec2948,701207
oraec2956,57201
oraec2957,134299
oraec2958,134267
oraec2959,134299
oraec2960,57201
oraec2964,380868
oraec2982,139412
oraec2986,134299
oraec2992,134299
oraec2996,134299
oraec3002,380868
oraec3004,134515
oraec3009,89695
oraec3010,134299
oraec3014,755075
oraec3021,57201
oraec3027,134265
oraec3028,755241
oraec3037,134515
oraec3038,381201
oraec3048,380868
oraec3052,57201
oraec3061,381201
oraec3085,134299
oraec3086,322163
oraec3091,381089
oraec3093,134515
oraec3102,134515
oraec3104,139364
oraec3106,139313
oraec3131,970771
oraec3134,970769
oraec3154,381248
oraec3170,874146
oraec3186,380868
oraec3194,380868
oraec3204,970768
oraec3217,380868
oraec3315,134515
oraec3338,57201
oraec3340,57201
oraec3344,139355
oraec3346,57201
oraec3352,134299
oraec3360,380844
oraec3366,139297
oraec3414,139311
oraec3432,136080
oraec3441,139415
oraec3450,322164
oraec3474,134346
oraec3533,380902
oraec3569,381201
oraec3575,380656
oraec3591,139322
oraec3611,57201
